SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;ADV;SHIF A;A1 VAL;A2 VAL;A3 VAL;

41 ;0:00,10 ;0 ;0 ;23;25;43;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,0 ;0,0 ;0,0 ;
41 ;0:00,20 ;0 ;0 ;23;25;42;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,0 ;0,0 ;0,0 ;
41 ;0:00,30 ;0 ;0 ;23;25;41;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,0 ;0,0 ;0,0 ;
41 ;0:00,40 ;2854 ;0 ;23;25;33;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;15,0 ;0 ;0,0 ;0,0 ;0,0 ;
41 ;0:00,50 ;3263 ;0 ;23;25;30;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;15,0 ;0 ;0,0 ;0,0 ;0,0 ;
41 ;0:00,60 ;3365 ;0 ;23;25;30;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;15,0 ;0 ;0,0 ;0,0 ;0,0 ;
41 ;0:00,70 ;3287 ;0 ;23;25;30;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;15,0 ;0 ;0,0 ;0,0 ;0,0 ;
41 ;0:00,80 ;3121 ;0 ;23;25;30;0,512 ;0,0 ;0,0 ;0,0 ;0,0 ;15,0 ;0 ;0,0 ;0,0 ;0,0 ;
41 ;0:00,90 ;3035 ;0 ;23;25;30;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;15,0 ;0 ;0,0 ;0,0 ;0,0 ;
41 ;0:01,00 ;2890 ;0 ;23;25;30;0,510 ;0,0 ;0,0 ;0,0 ;0,0 ;15,0 ;0 ;0,0 ;0,0 ;0,0 ;
41 ;0:01,10 ;2898 ;0 ;23;25;30;0,511 ;0,0 ;0,0 ;0,0 ;0,0 ;15,0 ;0 ;0,0 ;0,0 ;0,0 ;
41 ;0:01,20 ;2975 ;0 ;23;25;30;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;15,0 ;0 ;0,0 ;0,0 ;0,0 ;
